slank,formal
ihhh,ih
iiihhhhh,ih
ihhhh,ih
ikh,ih
iiih,ih
iih,ih
iiiiiiiii,ih
iiiihhhhhj,ih
iyuh,ih
iyuuuhhhh,ih
iyuuhhh,ih
iiii,ih
iiiiiiiiii,ih
iiihh,ih
iiihhhh,ih
iihh,ih
ijap,ijab
ikutin,ikuti
ikut2,ikut-ikut
ikut2an,ikut-ikutan
ilmh,ilmu
imutttttt,imut
imuuttt,imut
imuttzz,imut
imoet,imut
imuutt,imut
imutt,imut
imut2,imut-imut
indahhh,indah
ndak,indak
nda,indak
nd,indak
dak,indak
indefendet,independen
indo,indonesia
indonesiaaa,indonesia
indonesiaah,indonesia
indoneaia,indonesia
inget,ingat
inggat,ingat
ingt,ingat
ingeet,ingat
igtlah,ingatlah
inggrisny,inggrisnya
inghinn,ingin
ingi,ingin
inginkn,inginkan
ni,ini
inih,ini
iniw,ini
nii,ini
nie,ini
inii,ini
inia,ini
in,ini
iniiiii,ini
ne,ini
iniiiiiiiiiiiiiii,ini
inihhh,ini
iniii,ini
inni,ini
nee,ini
iniehh,ini
insonniaaa,insomnia
instal,install
pasang,install
nginstall,install
iriiiii,iri
iseng2,iseng-iseng
istiqomahhh,istikamah
istiqamah,istikamah
istiqomah,istikamah
istimewaaa,istimewa
ityl,itil
tu,itu
ituu,itu
it,itu
tuuu,itu
iu,itu
ituh,itu
ithu,itu
thu,itu
ituuuu,itu
ituuu,itu
itumahh,itumah
iyah,iya
iyaaa,iya
iyak,iya
iyha,iya
iaa,iya
iyaa,iya
iyap,iya
iyaap,iya
iyaaaa,iya
iyaappps,iya
iy,iya
iyh,iya
jdi,jadi
jd,jadi
jadu,jadi
jadii,jadi
jaadii,jadi
jdii,jadi
jadiin,jadikan
jadilh,jadilah
jd'y,jadinya
jdwl,jadwal
jagain,jaga
jkt,jakarta
jkrta,jakarta
jakety,jaketnya
jln,jalan
jalan2,jalan-jalan
jln2,jalan-jalan
"jalan""nya",jalan-jalannya
jamam,jaman
jadulnya,jaman dulunya
jaman2,jaman-jaman
jaman2nya,jaman-jamannya
jmnya,jamnya
jendess,janda
jendes,janda
jendesss,janda
jnda,janda
jgn,jangan
jan,jangan
jgan,jangan
jngan,jangan
jaaangan,jangan
jngn,jangan
jngnn,jangan
jng,jangan
jnagn,jangan
jangan2,jangan-jangan
"jangan""",jangan-jangan
jgn2,jangan-jangan
janka,jangka
jrang,jarang
jrnk,jarang
jari2,jari-jari
jatoh,jatuh
jatuhnyaa,jatuhnya
jauhhh,jauh
jauhh,jauh
jaoooh,jauh
jauuhhh,jauh
jauhin,jauhi
jwab,jawab
jwb,jawab
jwban,jawaban
jawabanny,jawabannya
jelase,jelas
jelashh,jelas
jels,jelas
jelasssss,jelas
jelas2,jelas-jelas
"jelas""",jelas-jelas
jls2,jelas-jelas
jlek,jelek
jelex,jelek
jelek2,jelek-jelek
jendral,jenderal
jeniuss,jenius
jerewi,jerawat
cewer,jewer
jidad,jidat
jk,jika
jilbb,jilbab
jlbb,jilbab
jilbabnyaah,jilbabnya
jilbabnye,jilbabnya
jilbabny,jilbabnya
jodohx,jodohnya
jodohny,jodohnya
mblooo,jomblo
mblo,jomblo
jombsss,jomblo
jorokkkk,jorok
jorookknya,joroknya
jdulnya,judulnya
judulnyaa,judulnya
jugaa,juga
ugaaa,juga
jugaaa,juga
jga,juga
jg,juga
uga,juga
jugaakk,juga
jugak,juga
ughaa,juga
jgk,juga
ugha,juga
jjur,jujur
jmpaaaa,jumpa
jungkiir,jungkir
justeru,justru
jt,juta
kobul,kabul
kacauuuu,kacau
kdg,kadang
kdng,kadang
kdang,kadang
kdg2,kadang-kadang
kafeh,kafe
kaga,kagak
kgak,kagak
kageet,kaget
kageeet,kaget
kh,kah
kha,kah
kaitannha,kaitannya
ka,kak
kaakk,kak
kaak,kak
k,kak
kaaa,kak
kakk,kak
kakkkkk,kak
kaaaa,kak
kakkk,kak
kaa,kak
kaaakk,kak
kakkkk,kak
kaaaaaaaaaakkkkkkkkkkk,kak
kaj,kak
kaaaaa,kak
k',kak
kx,kak
kaka,kakak
kk,kakak
kka,kakak
kkak,kakak
kakakkk,kakak
kakakgh,kakak
qaqaaaa,kakak
kakakaaaaaaaaaaaaaa,kakak
kaakaaaa,kakak
kakakuuu,kakakku
kakanya,kakaknya
kakanga,kakaknya
kakakny,kakaknya
kki,kaki
kalahnye,kalahnya
kklau,kalau
klw,kalau
klow,kalau
kl,kalau
klau,kalau
klu,kalau
kakau,kalau
kalw,kalau
klauu,kalau
kalu,kalau
lw,kalau
keles,kali
kaliii,kali
kalii,kali
kli,kali
kale,kali
x,kali
kalik,kali
kaliiii,kali
kalli,kali
kaliiiiiii,kali
kelus,kali
kaleee,kali
kaliannnnnn,kalian
kaliannnnnm,kalian
kaliannnnnnn,kalian
klian,kalian
klen,kalian
xlian,kalian
kln,kalian
kellen,kalian
kaliiin,kalian
kaliann,kalian
kaliannn,kalian
kaliaan,kalian
kaloo,kalo
klo,kalo
kalok,kalo
kallo,kalo
kll,kalo
klok,kalo
kalogak,kalo tidak
kmar,kamar
kmi,kami
km,kami
kamiiii,kami
kampungn,kampungan
kamo,kamu
kmu,kamu
kamuu,kamu
kqmu,kamu
kemuh,kamu
qm,kamu
qmu,kamu
kamyuhhh,kamu
kam,kamu
amu,kamu
amohhh,kamu
kamuuuu,kamu
kamu2,kamu-kamu
kamunyaa,kamunya
kn,kan
kaan,kan
kaannnn,kan
kaaan,kan
kannn,kan
kann,kan
kaaaaaann,kan
khan,kan
kana,kanan
knan,kanan
kndung,kandung
kanggggg,kang
kangenn,kangen
kgn,kangen
kangem,kangen
kangeeeeeeeeennnnnnnn,kangen
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kangeeerrn,kangen
kngen,kangen
kangennnn,kangen
kangeeeeeeeenya,kangen
kgeeeen,kangen
kangeenn,kangen
kangeen,kangen
kngenn,kangen
kangeeeeennn,kangen
kangeeeennnnn,kangen
kangennnnn,kangen
kanggen,kangen
kangennnnnnn,kangen
kngn,kangen
kangeeeennn,kangen
kangennnnnn,kangen
kpan,kapan
kpn,kapan
kapn,kapan
pan,kapan
kapaan,kapan
kapan2,kapan-kapan
pankapan,kapan-kapan
kpn2,kapan-kapan
kpnpun,kapanpun
memori,kapasitas
memory,kapasitas
karna,karena
krn,karena
krna,karena
krena,karena
kareno,karena
karir.a,karirnya
kharismanya,karismanya
karmaaa,karma
card,kartu
kartunin,kartun
krya,karya
kraya,karya
karya2,karya-karya
"karya""",karya-karya
kasar2,kasar-kasar
ksh,kasih
kasi,kasih
ksih,kasih
kasian,kasihan
kasiannn,kasihan
kasihn,kasihan
kasiaannn,kasihan
kasiian,kasihan
kacian,kasihan
kaciiaann,kasihan
kaasian,kasihan
kta,kata
kate,kata
kata2,kata-kata
"kata""",kata-kata
kt2,kata-kata
kata2nyaaa,kata-katanya
kata2nya,kata-katanya
ktny,katanya
ktnya,katanya
katanyaa,katanya
ktanya,katanya
lau,kau
kw,kau
kauuuu,kau
kwatir,kawatir
ky,kaya
kya,kaya
kayahhh,kaya
kyy,kaya
kayaa,kaya
kek,kayak
kayakk,kayak
kyk,kayak
kyak,kayak
keq,kayak
kekk,kayak
kayax,kayak
kyax,kayak
keak,kayak
kayaq,kayak
kaya,kayak
kekgini,kayak begini
kyknya,kayaknya
kyk.a,kayaknya
keknya,kayaknya
kyaknya,kayaknya
kyanya,kayanya
kayanye,kayanya
kaya'a,kayanya
keee,ke
krmh,ke rumah
keedaannya,keadaannya
kbahagiaan,kebahagiaan
"kebaikan""y",kebaikannya
kebangetak,kebangetan
kebanggan,kebanggaan
kebykan,kebanyakan
kebnyak'an,kebanyakan
kebarat2an,kebarat-baratan
kebayanyaa,kebayanya
keberpa,keberapa
kberkahn,keberkahan
kbetulan,kebetulan
kbiasaan,kebiasaan
kcantikan,kecantikan
kecantikanga,kecantikannya
keceee,kece
kecr,kece
keche,kece
kece2,kece-kece
kecptan,kecepatan
kcwa,kecewa
kcewa,kecewa
keciill,kecil
keciil,kecil
kecik,kecil
kcil,kecil
"kecil""",kecil-kecil
kedengeran,kedengaran
kedpan,kedepan
kedokk,kedok
keduaa,kedua
kdua,kedua
khadiran,kehadiran
khadirannya,kehadirannya
khdpn,kehidupan
khidupan,kehidupan
kejadianny,kejadiannya
kejahatn,kejahatan
kejuu,keju
ngekeh,kekeh
kekuranganny,kekurangannya
klhran,kelahiran
kelahuran,kelahiran
klahiran,kelahiran
lairannya,kelahirannya
klk,kelak
klkuan,kelakuan
kelaluan,kelakuan
klakuan,kelakuan
klas,kelas
kelas'a,kelasnya
klmbutan,kelembutan
keliatan,kelihatan
kliatan,kelihatan
klihatan,kelihatan
keliatannya,kelihatannya
kliatanya,kelihatannya
kluar,keluar
out,keluar
kluarga,keluarga
klg,keluarga
klrga,keluarga
kel,keluarga
keluarin,keluarkan
kemn,kemana
kmn,kemana
kmana,kemana
kmana2,kemana-mana
kmrn,kemarin
kmarin,kemarin
kmrin,kemarin
kemaren,kemarin
kmaren,kemarin
kmren,kemarin
kemariin,kemarin
kemarn,kemarin
kmariiin,kemarin
kmauan,kemauan
kmbali,kembali
ngembali,kembali
kmbl,kembali
kmbang,kembang
kembaq,kembar
kmewahan,kemewahan
knl,kenal
knlan,kenalan
kenaliiin,kenalkan
kenalin,kenalkan
knpa,kenapa
knp,kenapa
kanapa,kenapa
napa,kenapa
kenape,kenapa
knpp,kenapa
kenapaa,kenapa
knapa,kenapa
kencqng,kencang
kancang,kencang
kenceng,kencang
kencng,kencang
knyataan,kenyataan
kenyataan2,kenyataan-kenyataan
kpada,kepada
kpd,kepada
kepad,kepada
kepd,kepada
kepda,kepada
pala,kepala
alak,kepala
kpleset,kepleset
kepeleset,kepleset
krpoooo,kepo
kepoin,kepo
kepoh,kepo
kepppoin,kepoi
kpuasan,kepuasan
keputihn,keputihan
kerass,keras
kerasin,kerasi
kerrrrennnn,keren
kereeeeennnn,keren
kereeen,keren
kereenn,keren
kereen,keren
kerenn,keren
kerreeen,keren
kerennnnn,keren
kureeeen,keren
kereennn,keren
keeeerrrreeeennnnnnnnn,keren
kerennn,keren
keeeeeren,keren
kereeeen,keren
krenn,keren
kerrennn,keren
kerennnn,keren
kren,keren
kereeeeen,keren
kreeenn,keren
kereeeeennn,keren
kreen,keren
kreean,keren
kereeennnn,keren
"keren""",keren-keren
keren2,keren-keren
kueren2,keren-keren
kriput,keriput
krudung,kerudung
krudungan,kerudungan
kslhn,kesalahan
kslahan,kesalahan
kesalahanny,kesalahannya
kesampean,kesampaian
ksyngn,kesayangan
ksenangan,kesenangan
kesinii,kesini
kesiniii,kesini
ksni,kesini
ksini,kesini
ksitu,kesitu
ksukaanmuuu,kesukaanmu
ktaatan,ketaatan
ketaatanny,ketaatannya
ketauan,ketahuan
ketawakkkk,ketawa
ktawa,ketawa
ketawaa,ketawa
ktwa,ketawa
ktmu,ketemu
ketemuuu,ketemu
ktemu,ketemu
ktergantungan,ketergantungan
ktika,ketika
kasiatnya,khasiatnya
hayal,khayal
hayalanku,khayalanku
hianatin,khianati
kususnya,khususnya
kra,kira
kr,kira
kira2,kira-kira
kri,kiri
kiriii,kiri
krm,kirim
qt,kita
kite,kita
qta,kita
ktaa,kita
kt,kita
kitaa,kita
kitaaa,kita
ktg,kita
kiya,kita
we,kita
klepek2,klepek-klepek
kloop,klop
kocakkkkkkkkkkkkkk,kocak
kocakkkkkk,kocak
kocakkk,kocak
kocaaaak,kocak
koclak,kocak
koplak,kocak
kocaaaakkk,kocak
ko,kok
kog,kok
kokkk,kok
kox,kok
qo,kok
koq,kok
kq,kok
coment,komen
comnet,komen
comen,komen
komen2,komen-komen
komen2an,komen-komenan
comen2nya,komen-komennya
komenx,komennya
koment,komentar
komenan,komentar
comntr,komentar
komntr,komentar
komentarin,komentari
komentar2,komentar-komentar
comment2nya,komentar-komentarnya
komenannya,komentarnya
komentnya,komentarnya
komunitas2,komunitas-komunitas
konsekwensi,konsekuensi
konsul,konsultasi
knsul,konsultasi
kontak2,kontak-kontak
konten2,konten-konten
koplakkk,koplak
korek2,korek-korek
kostom,kostum
kreative,kreatif
qu,ku
kuu,ku
kuatttt,kuat
kuaaatt,kuat
kubarikan,kuberikan
kucing'y,kucingnya
kuliyh,kuliah
kuningggg,kuning
kuninggg,kuning
kunjungin,kunjungi
kura2,kura-kura
kurng,kurang
krng,kurang
kurangin,kurangi
krus,kurus
kusem,kusam
kutuu,kutu
lafazd,lafaz
lg,lagi
lgi,lagi
lagiiii,lagi
lagiii,lagi
lagii,lagi
lagihh,lagi
lggi,lagi
laginy,laginya
lgu,lagu
lagu2,lagu-lagu
lagu2nya,lagu-lagunya
lgunya,lagunya
lagu'y,lagunya
lahhh,lah
laa,lah
lha,lah
lahh,lah
la,lah
lahhhhhh,lah
laaaah,lah
lhirr,lahir
lhir,lahir
lahirr,lahir
laen,lain
lainnn,lain
laenny,lainnya
lainnyaa,lainnya
lakik,laki
lekong,laki
laki2,laki-laki
"laki""",laki-laki
lkuin,lakukan
"laku""",laku-laku
lma,lama
lama2,lama-lama
lancr,lancar
langgenh,langgeng
lggeng,langgeng
langgengggg,langgeng
lgkah2,langkah-langkah
lngsing,langsing
lgsg,langsung
lgsung,langsung
lngsung,langsung
lsg,langsung
lgs,langsung
lanjutkaaaaan,lanjutkan
lanjutin,lanjutkan
janjutin,lanjutkan
lt,lantai
lapakk,lapak
latian,latihan
lawaaaas,lawas
layan,layanan
playanan,layanan
lebar2,lebar-lebar
lebayy,lebay
lbh,lebih
lbih,lebih
lbihh,lebih
lebh,lebih
ledekin,ledeki
llki,lelaki
lengkapp,lengkap
lengkeeett,lengket
lenje,lenjeh
lwt,lewat
liat,lihat
lht,lihat
lihaat,lihat
liad,lihat
liyat,lihat
liht,lihat
lhat,lihat
lyt,lihat
lihaatttt,lihat
liattt,lihat
liatiii,lihat
liaatt,lihat
liaat,lihat
liatt,lihat
liatlah,lihatlah
liat2,lihat-lihat
liatnya,lihatnya
liatnyaaa,lihatnya
liat'y,lihatnya
liyatnya,lihatnya
lipetan,lipatan
liptsk,lipstik
living,livin
livinnya,livin
kelivin,livin
livinn,livin
livine,livin
livinluar,livin
livinmu,livin
livinku,livin
livini,livin
livingnya,livin
adanlivin,livin
livyn,livin
live,livin
liv,livin
lifin,livin
dilivin,livin
iooo,lo
eloo,lo
elo,lo
lohh,lo
loo,lo
loe,lo
loadingnya,loading
loding,loading
loohhh,loh
lhoo,loh
looohh,loh
looo,loh
loooh,loh
lohhh,loh
lohhhh,loh
looh,loh
lhooo,loh
loksyut,lokasi syuting
elo2,lo-lo
loncatt,loncat
loncattt,loncat
elu,lu
luu,lu
luhhh,lu
lluu,lu
u,lu
luh,lu
luuuaar,luar
luaarrr,luar
warbiyasah,luar biasa
lucuu,lucu
ucullllll,lucu
ucul,lucu
lucuuuu,lucu
lucuk,lucu
lutu,lucu
lcu,lucu
lucukkkkk,lucu
lucuuuk,lucu
lucuuu,lucu
ucull,lucu
luco,lucu
luchu,lucu
lucuuuuu,lucu
lucuukk,lucu
lluuccuu,lucu
lucuuuuuuuuuu,lucu
luccu,lucu
luuuucuuu,lucu
luucuuu,lucu
lucuuuuuuuu,lucu
cubanget,lucu banget
lucu2,lucu-lucu
lutuna,lucunya
lutunaa,lucunya
lucunaaa,lucunya
lucunyah,lucunya
luthuna,lucunya
lutunaaa,lucunya
lucux,lucunya
mayan,lumayan
mayann,lumayan
maap,maaf
mf,maaf
mff,maaf
maapin,maaf
mcm,macam
cem,macam
macem,macam
macem2,macam-macam
macam2,macam-macam
mahhhh,mah
mh,mah
mahh,mah
mehoonggggg,mahal
mahall,mahal
maen,main
main2,main-main
maenya,mainnya
main,maintenance
maintance,maintenance
maintence,maintenance
majuuu,maju
makkk,mak
maak,mak
mk,maka
mkanya,makanya
mknya,makanya
mk.a,makanya
makanyaa,makanya
makany,makanya
"maki""",maki-maki
mkn,makin
mkin,makin
makny,maknya
mksud,maksud
mksd,maksud
mkst,maksud
maksd,maksud
maksutku,maksudku
mksdku,maksudku
mksdny,maksudnya
mksdnya,maksudnya
malsudnya,maksudnya
mksdx,maksudnya
malh,malah
mlah,malah
mlh,malah
mlm,malam
malem,malam
malangg,malang
males,malas
mlz,malas
malingg,maling
mlu,malu
maluuuu,malu
maluu,malu
maluuu,malu
malu2in,malu-malui
mama.nyy,mamanya
mamax,mamanya
mampuuu,mampu
mampuussss,mampus
mna,mana
mn,mana
mandir,mandiri
mandri,mandiri
mandidi,mandiri
mngkannya,mangkanya
manisss,manis
mnisss,manis
mnis2nya,manis-manisnya
manisnyaaaa,manisnya
ngejatuhin,manjatuhkan
mantabs,mantab
mantabb,mantab
ntab,mantab
manta,mantan
mntn,mantan
mantanny,mantannya
mantep,mantap
muantteepp,mantap
ntaf,mantap
ntappp,mantap
muantaap,mantap
manteppp,mantap
mantaff,mantap
mantepp,mantap
mantaap,mantap
manteep,mantap
ntapsss,mantap
mantapp,mantap
mantaaap,mantap
mantappp,mantap
mantapppppp,mantap
ntap,mantap
manteb,mantap
bagus,mantap
keren,mantap
sip,mantap
mantab,mantap
mantul,mantap
jos,mantap
mantapss,mantap
mantaps,mantap
manstap,mantap
mantapppppppp,mantap
good,mantap
manusiy,manusia
maho,manusia homo
mrah,marah
marh,marah
marah2,marah-marah
marah2an,marah-marahan
martabakk,martabak
massss,mas
maaasss,mas
mmz,mas
mz,mas
mamas,mas
maso,masa
masaaaa,masa
msa,masa
msknya,masaknya
mslh,masalah
masalahh,masalah
maslah,masalah
msalah,masalah
mslhnya,masalahnya
masa2,masa-masa
"ms""",masa-masa
masi,masih
masio,masih
msh,masih
masing2,masih
msih,masih
ms,masih
"masing""",masing-masing
msg2,masing-masing
msuk,masuk
msk,masuk
login,masuk
log,masuk
loginnya,masuk
loging,masuk
logingnya,masuk
masyaallahhh,masyaallah
mansyoallah,masyaallah
masyarakay,masyarakat
mato,mata
mataq,mataku
matany,matanya
mata'y,matanya
mtanya,matanya
mti,mati
mateeeek,mati
mattihhh,mati
matii,mati
mateeeeeeeeeeee,mati
"mati""an",mati-matian
mauuuuu,mau
mw,mau
mai,mau
mo,mau
mauuu,mau
maauuu,mau
mauuuu,mau
mauu,mau
mao,mau
mauuuuuuu,mau
may,mau
maau,mau
mauuuuuu,mau
maw,mau
mbaaahhh,mbah
mbahh,mbah
mbk,mbak
mbg,mbak
mb,mbak
mbaaa,mbak
mba,mbak
mbaaass,mbak
mbaakk,mbak
mbaa,mbak
mbaak,mbak
mbak2,mbak-mbak
"mbak""",mbak-mbak
"mba""",mbak-mbak
mbakx,mbaknya
mbaknyaahh,mbaknya
mbanya,mbaknya
banking,mbanking
mobile,mbanking
bangking,mbanking
mbangkingmya,mbanking
mbank,mbanking
mobie,mbanking
bangkin,mbanking
mbangking,mbanking
mbankning,mbanking
ladenin,meladeni
ngelahirin,melahirkan
melahirin,melahirkan
ngelakuin,melakukan
lakuin,melakukan
melakukn,melakukan
ngelaporin,melaporkan
ngelarang,melarang
ngelawak,melawak
ngelawan,melawan
melebihin,melebihi
ledkin,meledeki
peleotin,meleot
lepasin,melepas
mlepaskan,melepaskan
ngelewati,melewati
ngeliat,melihat
ngelihat,melihat
ngeliatin,melihati
ngeliatnya,melihatnya
ngelihatnya,melihatnya
ngelucu,melucu
muluuu,melulu
lupain,melupakan
lurusin,meluruskan
maafin,memaafi
pahamin,memahami
make,memakai
ngepake',memakai
paksain,memaksa
maksain,memaksakan
mamer,memamerkan
mancing2,memancing-mancing
mancungin,memancungkan
pandanginya,memandanginya
mandiin,memandikan
emg,memang
mmg,memang
emank,memang
mang,memang
emng,memang
mmang,memang
emang,memang
emnknya,memangnya
emngnya,memangnya
emangnya,memangnya
manjain,memanjakan
mantes,memantas
masukin,memasuki
bhgiain,membahagiakan
balesin,membalas
ngebales,membalas
"membanding""",membanding-banding
badingkan,membandingkan
"bangga""in",membangga-banggakan
bangga2in,membangga-banggakan
mmbanggakan,membanggakan
ngebantu,membantu
banyakin,membanyaki
byangin,membayangkan
bedain,membedakan
ngebedain,membedakan
bedainnya,membedakannya
mmbela,membela
ngebela,membela
bellain,membela
ngebelain,membela
belain,membela
bela2in,membela-bela
"bela""in",membela-bela
menbelah,membelah
benahin,membenahi
benarin,membenarkan
ngebenci,membenci
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
besarin,membesarkan
ngebiarin,membiarkan
mmbodohkan,membodohkan
ngebolehin,membolehkan
bosenin,membosankan
ngebuktiin,membuktikan
megang,memegang
pegangin,memegang
melihara,memelihara
meluk,memeluk
mendam,memendam
meranin,memerankan
mitnah,memfitnah
fotoin,memfoto
miara,memiara
mkir,memikir
mikirin,memikirkan
mikirinnn,memikirkan
mikir2,memikir-mikir
milih,memilih
milikin,memiliki
minta,meminta
motret,memotret
peduliin,mempedulikan
perbaikin,memperbaiki
mmperbaiki,memperbaiki
mengperbolehkan,memperbolehkan
ngejuangin,memperjuangkan
liatin,memperlihatkan
praktekin,mempraktikkan
mutihin,memutihkan
mutusin,memutuskan
mutuain,memutuskan
nafkahin,menafkahi
nahan,menahan
naksir,menaksir
maksir,menaksir
nakutin,menakutkan
namain,menamai
mnambh,menambah
nampak,menampak
nampar,menampar
nanggepin,menanggapi
nganggepin,menanggapi
naggung,menanggung
nangis,menangis
nangiiiiis,menangis
nangiiis,menangis
nangiss,menangis
nagiss,menangis
nangiis,menangis
nangisss,menangis
"nangis""",menangis-nangis
nantangin,menantang
nari,menari
narik,menarik
nasehatin,menasihati
menasehati,menasihati
natap,menatap
nawarin,menawari
campurin,mencampuri
nyari,mencari
nyatok,mencatok
nyebur,mencebur
nyela,mencela
nyerocooooos,mencerocos
nyerocos,mencerocos
nyoba,mencoba
mncoba,mencoba
nyobain,mencoba
nyolong,mencolong
nyubit,mencubit
nyubitt,mencubit
mndpt,mendapat
mndpat,mendapat
dapetin,mendapati
mndaptkan,mendapatkan
mendapatkn,mendapatkan
dengarin,mendengarkan
dngerin,mendengarkan
mnding,mending
ndukung,mendukung
ngedukung,mendukung
nmbk,menembak
nembak,menembak
nempel,menempel
nemuin,menemukan
nengok,menengok
nentuin,menentukan
nerawang,menerawang
mnerima,menerima
nerima,menerima
nerusin,meneruskan
netaas,menetas
netes,menetes
ngaca,mengaca
ngacaaa,mengaca
ngaco,mengaco
ngadain,mengadakan
adain,mengadakan
ngademin,mengademkan
ngadu,mengadu
mengait2kan,mengait-ngaitkan
ngajak,mengajak
ajakin,mengajak
ngajar,mengajar
ngajarin,mengajari
ngaji,mengaji
ngajuin,mengajukan
ngakak,mengakak
ngakaaaakkk,mengakak
ngkkkkkk,mengakak
ngakakkk,mengakak
ngaku,mengaku
"ngaku""",mengaku-ngaku
ngalah,mengalah
ngalahin,mengalahkan
mengalahkn,mengalahkan
ngalirrrrr,mengalir
ngalir,mengalir
ngamatin,mengamati
nganbek,mengambek
ngambek,mengambek
ngambeknya,mengambeknya
ambilin,mengambil
ngantar,mengantar
nganterin,mengantarkan
ngantri,mengantri
ngapain,mengapa
ngp,mengapa
ngapasih,mengapa sih
aplikasiin,mengaplikasikan
ngarang,mengarang
ngarsipin,mengarsipkan
ngasih,mengasih
mngasi,mengasih
ngasi,mengasih
ngasih2,mengasih-ngasih
ngtain,mengatai
ngatain,mengatai
ngatai,mengatai
ngata2in,mengatai-ngatai
ngatur,mengatur
kawinin,mengawini
ngecek,mengecek
ngeditnya,mengeditnya
ngekek,mengekek
ngeluarin,mengeluarkan
mengncang,mengencang
ngepoin,mengepoi
mengherthii,mengerti
ngerti,mengerti
mngerti,mengerti
menegerti,mengerti
ngertiin,mengerti
ngertii,mengerti
ngrti,mengerti
ngeselin,mengesalkan
ngetik,mengetik
nggali,menggali
ngegampar,menggampar
gangguin,mengganggu
ngegantiin,menggantikan
gantiin,menggantikan
ganti'kn,menggantikan
gemesiin,menggemaskan
gemesin,menggemaskan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
gemesinnnnn,menggemaskan
gosipin,menggosipkan
hadapin,menghadapi
mrnghadapi,menghadapi
adapin,menghadapi
ngehakimi,menghakimi
hancurin,menghancurkan
ngehancurin,menghancurkan
ngapus,menghapus
ngareppppp,mengharap
ngarep,mengharap
haragain,menghargai
ngilang,menghilang
ngilangin,menghilangkan
menghilangkn,menghilangkan
hilangin,menghilangkan
ngehina,menghina
mnghina,menghina
ngitem,menghitam
ngehujat,menghujat
ngidam,mengidam
ngeidealin,mengidealkan
ngikutin,mengikuti
mngikuti,mengikuti
mengikutii,mengikuti
ngilerrrr,mengiler
ngingetin,mengingatkan
ingetin,mengingatkan
nginjek,menginjak
ngintilin,mengintil
ngintip,mengintip
kirain,mengira
mngira,mengira
ngiri,mengiri
ngiriii,mengiri
ngriii,mengiri
ngirim,mengirim
kirimin,mengirimi
ngiringan,mengiringi
ngiritya,mengiritnya
ngayal,mengkhayal
gkhianati,mengkhianati
ngobrol,mengobrol
ngoceh,mengoceh
ngocok,mengocok
ngolokin,mengolok
ngomen,mengomentari
ngomentarin,mengomentari
ngomenin,mengomentari
ngomentnya,mengomentarinya
ngomong,mengomong
ngmng,mengomong
ngemeng,mengomong
ngomng,mengomong
ngomomg,mengomong
ngmg,mengomong
ngumung,mengomong
ngom,mengomong
ngmgin,mengomongkan
omongin,mengomongkan
ngomongin,mengomongkan
ngmngin,mengomongkan
ngmngnya,mengomongnya
ngomongnya,mengomongnya
ngorbanin,mengorbankan
nguburin,menguburkan
ngcpin,mengucapkan
ngucapin,mengucapkan
ucapin,mengucapkan
ngulangin,mengulangi
ngumbar,mengumbar
ngumbar2,mengumbar-umbar
ngumpat2,mengumpat-ngumpat
"ngumpet""",mengumpet-ngumpet
ngungkit2,mengungkit-ungkit
ngurus,mengurus
ngurusin,mengurus
ngurusan,mengurusi
urusin,mengurusi
mengirusi,mengurusi
ngrusin,mengurusi
nikahin,menikahi
nikmatin,menikmati
mnilai,menilai
nimpuk,menimpuk
ninggalin,meninggalkan
ninggiin,meninggikan
niru,meniru
mnjadi,menjadi
mnjdi,menjadi
mendj,menjadi
menjdi,menjadi
mnjdkan,menjadikan
jahatin,menjahati
jalanani,menjalani
jalanin,menjalani
mnjawab,menjawab
"jelek""in",menjelek-jelekkan
ngejelek2in,menjelek-jelekkan
menjelekan,menjelekkan
jelekin,menjelekkan
ngejelek,menjelekkan
mnjmput,menjemput
mnjijikaaaaaan,menjijikkan
ngejilat,menjilat
nyeplak,menjiplak
mnjual,menjual
nolongin,menolong
tongolin,menongol
nton,menonton
nntn,menonton
nontoonnn,menonton
nontonnnn,menonton
nonton,menonton
nnton,menonton
ntn,menonton
nobar,menonton bareng
nontonx,menontonnya
nontonya,menontonnya
nontonny,menontonnya
"mentah""",mentah-mentah
"mentang""",mentang-mentang
ketawain,mentertawakan
nraktir,mentraktir
nuduh,menuduh
nulis,menulis
nunduk,menunduk
nunggu,menunggu
nungguin,menunggu
nuntut,menuntut
menurur,menurut
mnrtkuu,menurutku
nusuk,menusuk
mnusuk,menusuk
mnutup,menutup
nutupin,menutupi
tutupin,menutupi
"nutup""in",menutup-nutupi
nyadar,menyadar
nyakitin,menyakiti
nyalahin,menyalahkan
nyamain,menyamakan
nyambet,menyambat
nyambung,menyambung
nyambungin,menyambung
nyampah,menyampah
nyampein,menyampaikan
nyender,menyandar
nyangka,menyangka
nyangkaa,menyangka
nyangkutnya,menyangkutnya
nyanyiin,menyanyi
nyaranin,menyarani
saranin,menyarankan
nyaru,menyaru
nyatakan,menyatakan
nyebelin,menyebalkan
nyebutin,menyebutkan
nyebut2,menyebut-nyebut
menyebut2,menyebut-nyebut
