No,userName,at,score,content,Sentimen
504,Heri sugianto,12/18/2022,5,Maksih,positif
505,Muhammad Effendy,12/18/2022,1,Gak bisa login padahla sudah di urus di kantor pusat mandiri banjarmasin tapi tetap gak bisa dan disuruh coba login selfi sudah hampir 2 minggu tetap gak bisa dan jawaban dari mandiri banjar masin suruh coba terus payah,negatif
506,Indah Puspitasari,12/18/2022,4,Verifikasi wajah nya yang susah Selalu gagal,negatif
507,Intan Aliana,12/18/2022,1,Lemot sekali sistemnya disaat mau buka pendaftaran,negatif
508,Muhammad Fatoni,12/18/2022,3,"Aplikasinya tidak bisa di buka, di android 13, Redmi note 10 pro, Rom PE, normal no root",negatif
509,Ahnaf Rafi' Naufal,12/18/2022,1,Kenapa mau transfer atau isi dana selalu tidak bisa setelah masukin pin tolonh secepatnya di perbaiki,negatif
510,Andi Lau,12/18/2022,1,"Aplikasinya nggak bisa dibuka min, padahal sebelumnya udah didaftarkan. Masalhnya apa tu min?",negatif
511,Ricky Baharian,12/18/2022,1,"18 Desember 2022 Kasih bintang satu dlu karna aplikasi error login, belum juga login udah keluar dari aplikasi. Masih belum d tanggapi jg report nya, Udah d uninstall ribet lagi aktifin aplikasinya. Klo udah lancar lagi saya kasih bintang lima Terima kasih",negatif
512,Iyah Juriah,12/18/2022,1,"Aneh tiba2 minta ganti psws hareeh kaga jelas, Anehnya lagi, padahal sudah masukkan identitas sesuai KTP tetap salah, sangat kecewa",negatif
513,putri syamsi,12/18/2022,1,"Payah , tidak berguna",negatif
515,Irfan_ramdani01,12/18/2022,1,Jirr nyesel di update... Setelah update makin kga jelas... G bisa di buka,negatif
516,Kang Mamat,12/18/2022,1,Ribett,negatif
517,adeoki wagiman,12/18/2022,1,"Aplikasi susahh di buka brengsek, kan mau transaksi",negatif
518,Edo Edo,12/18/2022,3,"Ada masalah livin, g bisa transfer",negatif
519,Uus Budiman,12/18/2022,3,Udah bikinkok gk bisa masuk ya,negatif
520,Melanesia Buratehi,12/18/2022,5,Sangat membantu sekalii aplikasinya saya tidak perlu melakukan perjalanan buat transfer,positif
521,Anjas Wahyu Saputra,12/18/2022,1,Rumit,negatif
522,Cepy Maulana,12/18/2022,1,"Kebanyakan perifikasi ,entah kenapa ya",negatif
523,Suriani S,12/18/2022,5,Sangat bermanfaat,positif
524,inarasidi 2978,12/18/2022,5,SEKARANG LEBIH MANTAP.,positif
525,Rapunzel,12/18/2022,1,Gabisa top up mangsut amat,negatif
526,Dwi Aprilia Nurjannah,12/18/2022,1,"Buka aplikasi for closed terus, padahal RAM hp 4GB mohon untuk diperbaiki",negatif
527,Muhammad Idris (Muhdi),12/18/2022,3,Tutorial tambah kartu Mandiri dk ada... Buset deh,negatif
528,Yesi Agustin,12/18/2022,1,Mau buat rekening baru gabisa bisa padahal pulsa ada 10rb,negatif
529,PAI RAMBAK,12/18/2022,5,Geser lihat saldo sudah bisa Terimah kasih???,positif
530,tisnatun isti,12/18/2022,1,Dari bulan oktober aplikasi tidak bisa untuk verifikasi wajah gagal terus. Gak ada solusi. Gmna ini livin ?,negatif
532,Karjani Paytren,12/18/2022,2,Sungguh terlalu ribet &ruwet untuk registrasi aja,negatif
533,saiful anwar,12/18/2022,5,mmantaabbb....???,positif
534,khania anisah,12/18/2022,1,Gara gara ganti hp buat masuk laginya susah. Ribet suruh ulangi pembuatan password. Udah dicoba dri kmren hayu wae gitu terus ga masuk2 hemm,negatif
535,Ayub Makiwan,12/18/2022,5,Selalu saja terblokir karna terkecoh pin terlalu banyak adanya livin,negatif
536,Nur Laela,12/18/2022,1,Susah untuk masuk ke aplikasi cuma sampe logo livine,negatif
539,Isfa Lana,12/19/2022,5,"Coba kalau ada fitur setor tunai,.",negatif
540,Rickyangga 07,12/19/2022,5,"Mantap,mudah penggunaan'y,",positif
541,Dikdik Gunantara,12/19/2022,5,Selama ini berjalan dengan baik dan tidak pernah ada masalah. Pertahankan dan maju terus..,positif
543,Retno Mukti,12/19/2022,5,Jozz,positif
544,Openg Okey,12/19/2022,5,salah satu bumn yg terbaik,positif
545,Eko Rian,12/19/2022,5,Ok bagus,positif
546,saripu Jimsay,12/19/2022,5,Bintang Lima saya suka,positif
547,inojaya12 jaya,12/19/2022,5,"Mbanking sangat membantu,is the best... ?????????",positif
548,hasan saiful,12/19/2022,5,Bagus dan praktis,positif
549,edi chandra,12/19/2022,5,Lebih mudah dlm bertransaksi apapun juga,positif
550,Bobie,12/19/2022,1,"Udh minta update aja, kalau ga di update malah ga bs di pakai aplikasinya. Tp udh dibupdate malah sering force close sndiri, gimana mau transaksi...",negatif
551,Vallen jojho Daud,12/19/2022,5,Is the best..?????????,positif
552,b'ntang m,12/19/2022,4,Baguslah,positif
553,Hisan hibban,12/19/2022,4,Bagus sangat membantu segala transaksi tersedia,positif
554,Darmawan Sriyana,12/19/2022,5,Bagus dan mudah penggunaanya,positif
555,Rizal Nuralamsyah,12/19/2022,5,Sangat membantu untuk bekerja,positif
556,Ancha ancha,12/19/2022,5,Aplikasi bagus..jadi aman bertransaksi. Terimakasih bank mandiri,positif
557,Dex Tite,12/19/2022,5,Bagus dan cepat memudahkan semua hal.,positif
560,Yulius Pakabu,12/19/2022,5,Livin luar biasa,positif
561,Niha Niha,12/19/2022,3,Mengapa yg aplikasi kuning klo top up ga bisa langsung tersave utk berikut nya? Kalau aplikasi nya lbh baik ntar bolehlah ganti bintang.,negatif
562,Oktolina Reni,12/19/2022,1,Bentar?ý harus diperbaharui ..,negatif
564,Asep Maulana,12/19/2022,5,"Livinluar biasa,ini baru bank bumn yg komplit,bisa semuanya,terima kasih",positif
566,Ariestanti Iskandar,12/19/2022,2,Sering trobel ya,negatif
568,Ahmad Mashoedy,12/19/2022,5,Bermanfaat dan mudah penggunaannua,positif
569,imron rosyadi,12/19/2022,5,Mudah dan multi fungsi,positif
570,Eka Andreiyana,12/19/2022,5,Amat sangat berguna. Thank you,positif
571,Ahmad Khoir,12/19/2022,5,bermamfat bngt m'bengking...,positif
573,hasbullah hana,12/19/2022,5,Sangat membatu,positif
575,Tri Mulyani,12/19/2022,1,Mau topup ke apk yg lain gagal terus,negatif
576,Jefry Ahmad,12/19/2022,5,Apk sangat mudah dan trx nya cepat,positif
577,Zahra Nisha,12/19/2022,5,Mantul,positif
578,Ningsih Ningsih,12/19/2022,5,Bagus dan sangat membantu,positif
579,Nana Suwarna,12/19/2022,5,"Mudah untuk financial busines,",positif
580,Brogi Lalang,12/19/2022,5,Bagusnya,positif
581,Baihaqi Altharafisqi,12/19/2022,1,Tolong diperbaiki. Aplikasi tidak bisa dibuka. Setiap dibuka langsung close trus. Padahal mu tf. Hadeh.,negatif
582,adji prabowo,12/19/2022,5,Simple,positif
584,sukimin kimin,12/19/2022,5,Sangat memuaskan dan lebih aman dalam bertransaksi,positif
585,Patar Panjaitan,12/19/2022,5,Semakin simple dan praktis,positif
586,dito mandiri,12/19/2022,5,"Mudah, keren dan fleksibel.",positif
587,desta toelle,12/19/2022,5,Suka. Aplikasinya mudah digunakan,positif
588,Sutrisno Tresno,12/19/2022,5,SIP AJIIIP,positif
589,Jago Therapist,12/19/2022,5,Living mandiri is ok for me.,positif
590,Ida Rusita,12/19/2022,5,Ditunggu menu pencairan dana tunai.,negatif
591,Maya Sari,12/19/2022,5,"Kata sapa livin mandiri logo kuning ribet?? Menurut gw sih stlh update mlh simple, keren n memprmudah,, klo pun prnh ad trouble beberapa jam, itu wajar mngkn lg ad prbaikan maintance sistem server,, udh luama bgt jd nasabah bank MANDIRI n slma ini blm mengecewakan dr segi playanan perbankan ampe aplikasi livin ny ??ø??ø bravo MANDIRI",positif
592,OGI CHANNEL,12/19/2022,5,Sangat memuaskan,positif
593,Slamet Priyatin,12/19/2022,5,"Memberikan solusi tepat..untuk transaksi secara online,,cepat dan tidak ribet trimakasih mandiri.",positif
596,Roni Sabar Manurung,12/19/2022,1,Update mulu... Ribeet Gak kyak app bank lainnya Ngabisin paket ajaa njiir,negatif
597,HAZAL PRATAMA,12/19/2022,3,app yg membantu dalam kehidupan sehari-hari,positif
598,ikram Basra03,12/19/2022,5,Aplikasinya luar biasa dapat membantu saya dalam melakukan transaksi secara online d mna pun saya berada..,positif
600,Dewi Savitri,12/19/2022,4,Sebenarnya bagus yah dari segi transaksi apapun oke punya....namun opsi menu2nya ada yg ga bisa di klik...sudah gitu untuk pengguna baru tidak bisa tracking pengiriman kartunya sudah sampai mana dan katanya ada di menu pesan untuk trackingny tapi nyatanya tidak ada...aplikasinya mungkin harus lebih di mudahkan kembali penggunaanya.,negatif
602,Endang Asih,12/19/2022,5,Mandiri keren,positif
604,Edi Pranawa,12/19/2022,5,"Dompet berjalan, mudah di operasikan",positif
605,Rizky official,12/19/2022,5,mantap ga ribet,positif
606,Bang Jhon,12/19/2022,5,Aplikasi yg sangat bermanfaat,positif
607,Maulana Ohoitenan,12/19/2022,3,Untuk transfer tdk menyimpan otomatis nama yg penerima yg sdh dibuat sebelumnya,negatif
608,syaefuddin syaefuddin,12/19/2022,5,Banyak fitur2 yang memudahkan untuk bertransaksi,positif
609,Ety Jaum,12/19/2022,5,Sangat membantu dalam transaksi online,positif
612,Beng Beng,12/19/2022,5,Mantap??,positif
613,Butirandebu,12/19/2022,5,Sangat kekinian dan kereen,positif
614,Arga Riandana,12/19/2022,5,"Tidak ada masalah,",positif
615,Agus Nuryanto,12/19/2022,4,Sangat membantuh dan mempermudah dalam bertransaksi tapi tetap harus ditingkatkan aplikasinya,positif
616,wiwik nurhayati,12/19/2022,1,"Di suruh update malah gak bisa buat tf, gak bisa bwt top up,.. Dih kesel bgt,.. Malem2 mau beli token aja gak bisa bwt apa2,... 20-12-22",negatif
617,Jeki Feriansah,12/19/2022,5,Aman,positif
618,Motovlog2022 Motovlog,12/19/2022,5,Selalu Ada Kendala Atm center rusak di medan,negatif
619,Adi Daruli,12/19/2022,1,Kurang maksimal,negatif
620,Umar Abdussalam,12/19/2022,5,Just ok,positif
621,ADIETRIYABORNEO PRATAMA,12/19/2022,5,Ok ok,positif
623,Alif irsyaaa,12/19/2022,1,Trouble mulu herann,negatif
624,Slamet Irawan,12/19/2022,5,Biar bintang yg bicara,positif
625,Imam maulana1982,12/19/2022,1,"Suka ngehang gajelas padahal jaringan stabill, mau cek saldo suka gk bisa parah, padahal livin buat kebutuhan kerja saya, saya gajian melalui transfer mandiri jadi gak respect aja pake livin kalo kaya gini terus gk ada perubahan??",negatif
626,Jupiter,12/19/2022,1,Layanan livin aplikasi mandiri semakin di update semakin memburuk,negatif
627,Andika Saputra,12/19/2022,1,Sering gangguan sangat tidak puas dengan livin dari mandiri,negatif
628,Muhamad Panca,12/19/2022,1,"Setelah di update, no virtual account tidak bisa otomatis seperti sebelumnya sehingga harus mengetik ulang nomor virtual account secara manual ????",negatif
629,Jemy Cool,12/19/2022,5,Knpa hbis di perbaharui gk bsa login min..mhon di petbaiki,negatif
630,ririn langolo,12/19/2022,1,Transfer tdk bisa setelah di update Payah,negatif
631,Lang Dhan,12/19/2022,2,Halo kenapa setelah saya update aplikasi malah jadi eror?,negatif
632,Alan Drajad Pamungkas,12/19/2022,1,"Bangk*k mestinkog sedang ada pemeriksaan terus, habis update pasti eror ta*",negatif
634,Eman Sule,12/19/2022,1,Aplikasi parah kalau malam suka eror.ditambah ada limit saldo.bank lain ga ada tuh,negatif
635,Eplan Esg,12/19/2022,5,Satu kata untuk aplikasi ini (MANTAP),positif
637,Mangku Alam,12/19/2022,1,"setelah di update malah ndak bisa login,susah sekali untuk login pie jane kiih",negatif
638,ricky zackyuddin,12/19/2022,1,"Payah, upgrade terus tapi gak ada improvement mengenai bug & gangguan servernya. Saya pengguna lama tapi akhir2 ini dampak nya kerasa sekali merugikan kalau sering menjumpai gangguan dan bug di mbanking livin.",negatif
639,Adrian Sah,12/19/2022,1,Setelah sya updet laju gak jelas ni aplikasi buat cek saldo aj gak bisa g mna admin masak bank segitu gedenya punya aplikasi gak jelas,negatif
641,Susanto Putri,12/19/2022,5,Update Bae update Bae... Haus kuota juga to...,negatif
642,Maysi julaiha,12/19/2022,5,"Saya download livin bukan untuk tf, yang penting bisa liat saldo aja udah tenang hehe... Btw livin yg kuning bisa intip saldo sih, cuman, emang ada beberapa kendala aja sih yang perlu di perbaiki. Semoga lekas di perbaiki ya, kasian kawan kawan yang juga menggunakan mandiri jika masih banyak kendala.",negatif
643,Suparto BW,12/19/2022,1,revesal itu apa ya transaksi berhasil tapi uang tidak masuk. Mohon penjelasanya. Terimakasih,negatif
645,ZonaZon's,12/19/2022,2,saya dapat transferan lewat bca namun pake bi fast.. sudah 1x24 jam dana belum saya terima,negatif
648,Gunanto bandongan,12/19/2022,2,Gini amat yak,negatif
649,bang hartono92,12/19/2022,1,"Apk livin tidak ada fungsi sama sekali, niat mau akses masuk bnyak hambatan. Ini kurang dana apa gimana, bisa2 nya bank ternama kek ga modal gitu. Mau pindah bank tp uang gue bnyak di mari. Apk k*ntol",negatif
651,Medi Mardiansyah,12/19/2022,4,Ada menu pinjaman .tapi ga bisa minjam .kepepettttt ??????,negatif
652,Agil Aldilana,12/19/2022,5,Sangat mudah dan membantu,positif
653,Zoel Chaidir,12/19/2022,5,"Aplikasi super canggih...puas deh pokok nya,layak dpt bintang 5",positif
654,Safrizal Rizal,12/19/2022,5,Sangat membantu dalam segala hal,positif
655,Soleh Abdullah18,12/19/2022,5,"Biar lebih mudah, coba ada kan fitur pinjaman di livin by mandiri",positif
656,alfian dhino,12/19/2022,5,Good App,positif
657,Mas Ju,12/19/2022,4,untuk toup dompet digitalnya tolong dibuat mudah!!??,negatif
659,Khairul Kurniawan,12/19/2022,5,Pengunaanya sangat baik,positif
662,arip mardiyanto,12/19/2022,4,"Terus semakin lebih baik, Terimakasih",positif
663,Kasih Channel,12/19/2022,5,Keren Abiiiissss Living Mandiri,positif
664,rajendra arkara,12/19/2022,5,Udh oke ni ga kayak sebelum nya,positif
666,Ricky saputra,12/19/2022,1,Transaksi tengah malam pas lgi darurat selalu gak bisa,negatif
668,Itha Bungas,12/19/2022,1,Habis update tetap BURUK !!!,negatif
669,Beny Kurniawan,12/19/2022,5,"Good, markotop",positif
671,CHOOPER ANIME,12/19/2022,5,seharian tidak bisa diakses tgl 25 februari 2022,negatif
672,Arif Hasnur,12/19/2022,5,Paling canggih dan terpercaya,positif
673,Rizki Gunawan,12/19/2022,5,Livin mantappp Livin kereeeeenn saya suka sya suka kasih saya pinjeman dong ???ý??¯???ý??¯?????¯????,positif
674,Burhan Colection Chanel,12/19/2022,5,Aplikasi lumayan bagus dan lumayan cepat utk transaksi,positif
676,Alka Wilma,12/19/2022,1,Tidak ada kesbek,negatif
677,misnawi Nawi,12/19/2022,5,mantap sangat membantu..,positif
678,Yusnidar nurdin yusnidar nurdin,12/19/2022,5,Ok mantap,positif
679,Muhammad Razief,12/19/2022,4,"Saya baru mencoba, pengalaman dari rekan kerja, cukup Baik",positif
680,Nawy Kokar,12/19/2022,1,"Setelah di update malah tidak bisa di akses, di klik puluhan kali susah masuk.. terlalu banyak fitur malah smakin kacau ni aplikasi.. kalo bank sebelah simpel aman aman sajah lo..",negatif
682,Ibnu Wibowo,12/19/2022,4,"Dh baguss, saran aja untuk kedepannya klo bisa di dalemnya 1 rekening ada tabungan?ý cabang, kaya misal ""tabungan haji/nikah"" dll, yg bisa di custom, trus dana nya auto debet dari tabungan utama, lebih keren si, jd ga bingung klo mau partisi tabungan buat pensiun, haji ataupun goal2 jangka menengah???",negatif
684,Afat,12/19/2022,5,Sangat bagus,positif
685,Muchamad ashari,12/19/2022,4,bagus2 ja yg komen jelek mngkin jrngny,positif
686,Wiwik Hardini,12/19/2022,5,Best,positif
689,achmed feisal,12/19/2022,5,Terbaik,positif
690,ifend yurrah,12/19/2022,5,Mantap aplikasi nya sangat membantu Dan bermanfaat..???,positif
691,HERIN ROCHMAWATI4,12/19/2022,1,kenapa gak ada menu pinjaman nya ya livin,negatif
693,hans al,12/19/2022,1,Aneh mau tarik tunai tengah malam off line????????????????,negatif
695,joko s,12/19/2022,5,Sering di update mungkin buat keamanan..,negatif
696,Ropik Djawa,12/19/2022,4,Sangat mudah di akses,positif
697,Ray Kasep,12/19/2022,1,"Kenapa susah banget sih buat tf,selalu bacaannya transaksi tidak dapat diakses terus,mohon perbaikannya dong",negatif
698,Elly Ahmad,12/19/2022,5,"Full bintang ,, the best livin?????????",positif
699,Radit Tresa,12/19/2022,1,"sy top up dana gagal tp saldo ga balik,cek di akun dana pun ga ad uang masuk,udh di tgu smpai 24 jam ga jelas kmm uang sy",negatif
703,Sandro Leonardo,12/19/2022,5,Bagus dan mantap??????,positif
704,Ahmad Syaefulloh,12/19/2022,1,"Haduh setelah di update jadi error, tolong min segera di perbaiki..",negatif
705,Ninja Putih,12/19/2022,1,Ini apk gimana s ko gk bisa tf cek saldo gk ada error ap gimana,negatif
706,Wisnu Gupta,12/19/2022,5,"Makin mudah bertransaksi ,livin by Mandiri okeeeee",positif
707,citra novitasari,12/19/2022,1,Yang baru tambah buruk buat transfer gagal dan tidak bisa menampilkan saldo,negatif
709,Alan Saputra,12/19/2022,5,bgus,positif
710,yeni.irnawati,12/19/2022,2,"Setelah update, tidak bisa liat detail transaksi",negatif
711,Ikal Kiara Salehe,12/19/2022,5,Super,positif
713,Arie Ariesta,12/19/2022,1,Update terus bukan makin baik tapi sering terhenti sendiri.,negatif
714,Deg Godeg,12/19/2022,5,Sangat bagusssss,positif
715,Mohamad Rotib,12/19/2022,5,Terima kasih,positif
716,ba dir,12/19/2022,5,Joss dan ga pernah mengecewakan baik aplikasi maupun atm nya???,positif
717,Yuyun Yunita,12/19/2022,4,God job,positif
718,munar munir,12/19/2022,1,"Setelah updateaplikasi malah ada verifikasi wajah, hp saya kamera depannya lagi rusak, dan butuh login untuk urusan mendesak, bagi saya sangat menyulitkan",negatif
719,Satria Qincai,12/19/2022,1,"Apk sampah,,, eror trus, malu lh mandiri punya apk kyak gini",negatif
720,Aziz Alfauzi,12/19/2022,5,Terbaik dalam pelayanan terimakasih ????,positif
721,Zein Abdullah,12/19/2022,1,Mau previkasi wajah aja ngheng tekan izinkan ga bisa bisa nya tekan tolak aja ... Aplikasi apaan tolol,negatif
723,rahma angelia,12/19/2022,1,Kok susah seh mau buka livinnya kesel dehhhhh,negatif
724,DANDY EDWAR,12/19/2022,1,"Aplikasi buruk,tidak bisa login,bikin ATM baru,trus instal livin,perivikasi email selalu gagal,aplikasi jelek",negatif
725,MUHAMAD THANTHAWI JAUHARI,12/19/2022,1,"Setelah di upgrade malah tidak bisa digunakan, ketika dibuka langsung keluar kembali",negatif
728,Kerja Serabutan,12/19/2022,1,Bank BUMN kalah sama SWASTA,negatif
729,Rizki Sapari,12/19/2022,2,Eror trus,negatif
730,wasis diesel,12/19/2022,5,Mantab memudahkan transaksi,positif
731,Anne Qyue,12/19/2022,5,Livin keren banget simple praktis dan lengkap..mulai dari menabung..investasi..semua bisa d lakukan di livin..sangat membantu untuk transaksi kemana pun dan waktu kapanpun..,positif
732,Miftakhul Kholid,12/19/2022,1,"Kasih bintang 1 tentunya.. Buat registrasi utk buka rekening baru. Prosesnya Suusaaahh,,, Pakai Buanget... Padahal internet OK Kuota internet jg OK Tapi kok susah banget .....",negatif
733,Randy Nugroho,12/19/2022,1,Setiap mau pakai selalu susah... Ampun,negatif
734,Mr ??say? Sayuthi,12/19/2022,2,"Sejak tadi pagi, aplikasinya gak jalan. Ada apa dengan livin by mandiri?",negatif
735,Ali Azwir,12/19/2022,1,Aplikasi 1 hari ini tak bisa dibuka,negatif
736,Agnes Enjel Yani,12/19/2022,1,Sudah seminggu ini aplikasi tidak bisa dbuka sama sekali,negatif
737,Novilia ulfa,12/19/2022,1,Bikin mbanking susah sekali. Sudah ke customer service juga belum jadi. Mandiri sulit.,negatif
738,alex Comank,12/19/2022,1,"Mau transfer koq gagal terus ya, padahal udah update..",negatif
739,Widodo Suyadi,12/19/2022,5,simpel cepat,positif
740,Dodi Hardodi,12/19/2022,1,Living sekarang ini kurang bagus .tolong perhatiin doang,negatif
741,Shinta Poernomo,12/19/2022,1,"Kok gak bisa tranfer seting apa lagi, makin pakek kok makin ribet aja",negatif
742,Wagiman Man,12/19/2022,1,Kok susah di buka aplikasi nya,negatif
745,Chatarina Nana,12/19/2022,5,very helpful in terms of financial affairs everything went smoothly without any problems,positif
746,Dian Abdullah,12/19/2022,3,Tidak bisa transfer gimana nih,negatif
747,Fuadi Sofi,12/19/2022,1,Setelah update tidak bisa melihat saldo dan history / mutasi rekening.,negatif
748,Ff Lombardo,12/19/2022,1,Pelayanan sangat tidak menyenangkan!!!,negatif
749,Tubagoesmuhammad Ridwan,12/19/2022,1,"nasabah baru sudah di kecewakan. baru buka tabungan, direkomendasikan buat download apk ini ternyata gak bisa masuk setelah vermuk. dan setelah dicoba beberapa kali malah CS nya nyalahin hp yg gk kompetibel katanya, padahal hp saya android versi 11",negatif
751,Musik Pilihan (Multimedia jaman now),12/19/2022,1,"Nyesel nya pakek banget daftar aplikasi ini, awalnya saya kira seperti bank2 digital lainnya "" tanpa saldo mengendap"" ini mah harus mengendap 10rb. udah gitu transfer pakek biaya lagi. nyesel nya sampek ke ubun2,hadehh",negatif
752,Boby Indra Gunawan,12/19/2022,5,KEREN APLIKASINYA ????,positif
753,Herdi Arga,12/19/2022,1,"Perbaikin dong, tiba tiba logout sendiri, mau kembali login malah ngebug dipas bagian konfirmasi wajah.",negatif
754,TJ 88,12/19/2022,1,Mohon diperbaikin dong masa buka aplikasi keluar sendiri... Ga bisa masuk...,negatif
756,Nur hasan Hasan,12/19/2022,5,Sangat membantu di saat yg tepat,positif
757,Fik Regarr,12/19/2022,1,"Makin di update kok malah makin buruk dan selalu error nih apk Tolongla beri kenyaman kepada kami sebagai nasabah mandiri apalagi tadi malam saya mengalami transaksi padahal sudah masuk malah kembali hilang dan sampai sekaranh uang nya belum masuk dengan keterangan reversal,haduhh",negatif
758,TASYA `NN,12/19/2022,1,pelayanan banknya lambat,negatif
759,Rio Saputra,12/19/2022,1,Gak bisa tranksaksi sama sekali,negatif
761,Edi Decan,12/19/2022,2,Susah malah ngloding terus,negatif
762,Erwin Myu,12/19/2022,5,Tqu Mandiri udh gk dipersulit log in livin nya. ?????¯?????¯???¦??¯,positif
763,Arya Prasetya,12/19/2022,1,Mohon untuk pihak mandiri di perbaiki lagi Livin nya kenapa saya selalu gagal TF padahal saldo masih banyak tolong di baca Jan di liat doang kalau misalkan gangguan mohon gangguan nya Jan terlalu lama nanti pemakai dikittt sakitu we ti pusat MH ???,negatif
764,KHUSNUD DONI,12/19/2022,1,Tambah jelek aj ni aplikasi,negatif
765,Melisa Usmi,12/19/2022,4,"Saya download apl ni tpi tidak pernah berhasil di tahap akhir. Yg tertera ""Belum berhasil terhubung"". Trus seperti ini yg keluar, masalah ny dimana ya",negatif
766,Mila 79,12/19/2022,3,"Ribet sekarang,, henk terus,, dan terus""an update,,, repot,, uninstall jdinya,, otewe ke ATM, wes ben",negatif
767,Pan23 Ipan12,12/19/2022,1,Jelek bangt saya mau tranfer knpa ga bisa tranper ke bank lain,negatif
768,Rusdi Yanto,12/19/2022,2,Tidak bisa masuk dalam,negatif
769,AYUB WIDODO,12/19/2022,1,Lama bet asli,negatif
770,Ijank Winarya,12/19/2022,1,"Kenapa sih susah log-in malh log-out terus. Padahal g perlu di update.livin parah, udah update malah susah masuk gak bisa d klik sidik jari sama sistem intip g bisa d tarik.",negatif
771,Maulana Satria,12/19/2022,1,Tolong dong aktifin bacaan loginya masa setiap ganti hp gabisa login Livin,negatif
772,Ermayani Endang,12/19/2022,3,setiap buka link knp sllu suruh up date sih,negatif
773,Jelli Jus,12/19/2022,3,Kartu atm saya blm di kirim trus lupa pass mau gnti mesti pkai no krtu atm gmna h bisa msuk jdnya,negatif
774,Glendy Rahman,12/19/2022,1,"Mulai aneh nih Livin,transaksi tanggal 19 Desember 2022 pada dini hari terjadi kegagalan,akan tetapi saldo terpotong,padahal pagi hari ini aplikasi livin normal,gimana ya ini?",negatif
775,Mas Wahyudi Widhi,12/19/2022,2,Ups aja lh,negatif
776,R. Wira Hadi Surya,12/19/2022,5,Aplikasi mudah dan lengkap sangat membantu,positif
777,Try Wahyudi,12/20/2022,5,mntap,positif
778,Caga za,12/20/2022,1,Padahal ga lupa no pin nya tapi kenapa ga bisa dan akhirnya ke blok Daftar online ga ada kartu Udah 2 Minggu ga bisa akses Livin,negatif
780,Nantye OziLoverZ,12/20/2022,1,Setelah update aplikasi malah tidak bisa loading saat di buka. Sudah uninstall dan install ulang tapi masih sama. Mohon untuk mandiricare aplikasi livin nya di cek dong soalnya masih gak bisa dibuka bahkan setelah uninstall dan install ulang lalu verifikasi ulang tapi gak bisa dibuka juga.,negatif
781,Cici Amelia,12/20/2022,5,Aplikasi Bagus Aman,positif
782,rozy banget,12/20/2022,5,Gooood Apk Mandiri Mobie Banking,positif
784,Lidia Novalista,12/20/2022,5,"Saya selalu terbantu dengan aplikasi ini..belum ada kendala,lancar dan bisa untuk bayar apa saja..Good livin mandiri??????",positif
785,khanif kurniawan,12/20/2022,5,"Makin lama makin bagus aplikasinya, tidak lagi kecewa, trimakasih",positif
787,Ariend Riskii,12/20/2022,5,Sangat membantu..,positif
788,keysa aurellia,12/20/2022,5,nyaman dan slalu terbaik,positif
789,hendra,12/20/2022,5,"Bagi kalian yang ga bisa login atau susah di akses..ni saya kasi saran mending kalian ganti hp nya aja yah,, minimal ram 6 kek kalo masih make hape ram 4 hrp maklum aj",positif
790,Johan Setia,12/20/2022,1,Tiap bulan kok update trs wae.. asemmm,negatif
793,muhamadabdul khamim,12/20/2022,5,Sangat bgus dan bermanfaat,positif
794,Kholik Nasution,12/20/2022,5,"Aplikasinya ok, Saya ga pernah ngalamin kendala Yg susah akses barangkali paketnya mau habis",positif
796,chanz zaro,12/20/2022,2,Cara cek user id nya gimna,negatif
797,Sintanilal Mubarokah,12/20/2022,5,Memang mantap livin'by mandiri,positif
798,Ricky Sahrul,12/20/2022,5,Lebih bagus dari mobile banking dari bank lain,positif
800,Novi afrianti,12/20/2022,5,Livin memudah kan seluruh transaksi,positif
801,Suheryan Heri,12/20/2022,1,Kurang bagus kalau mau masuk susah di coba berkali kali baru bisa,negatif
802,rhma.budiii,12/20/2022,1,"Kenapa ya kalau mau top up gak bisa selalu nomor transaksi tidak di temukan, mau top up shopee atau yang lainnya juga gak bisa tolong tanggapannya.",negatif
803,Vthree Harahap Chanel,12/20/2022,5,Bagus bagus bagus,positif
805,Cecep Hadiwijaya,12/20/2022,5,Sangat membantu sekali.. terus pertahankan pelayanan nya.,positif
806,Rudy Supartono,12/20/2022,2,Sering ketika buka aplikasi hanya tampil 1 detik trus hilang,negatif
807,Beloi Doang,12/20/2022,1,Saya transper uang. Tapi tidak berhasil ko uang saya kepotong...,negatif
808,Juhad Hidayat,12/20/2022,5,Bank Mandiri Mantul,positif
809,W 884,12/20/2022,4,Akses sedikit lambat,negatif
810,muji ono,12/20/2022,1,Baru di update malah tidak bisa masuk ngrepotin aja bosss,negatif
811,BAYU ANDUK,12/20/2022,1,"Tidak bisa transaksi dimalam hari, why?",negatif
812,FAIRUZ ASIDO RAHMADHAN,12/20/2022,1,Abis update malah erorrr gajelas bikin repot,negatif
813,Sugandi,12/20/2022,1,Kebanyakan offlennya,negatif
814,Yoka Dinah,12/20/2022,1,pembaruan ya tidak bagus mending versi lama walau pun jadul tapi memukinkan eh ini malah makin englek aja kita apus Cece ya malah ke hapus data kita ya ulang lagi malah lama masuk ya install ulang masih sama tolong BPk/IBU bantu keyamana ya dong,negatif
815,Angi Antonius,12/20/2022,4,Sangat bermanfaat dalam transaksi non tunai... Tks,positif
