userName,at,score,Sentimen,content
KHUSNUD DONI,12/19/2022 4:40,1,negatif,Tambah jelek aj ni aplikasi
Arya Prasetya,12/19/2022 4:44,1,negatif,Mohon untuk pihak mandiri di perbaiki lagi Livin nya kenapa saya selalu gagal TF padahal saldo masih banyak tolong di baca Jan di liat doang kalau misalkan gangguan mohon gangguan nya Jan terlalu lama nanti pemakai dikittt sakitu we ti pusat MH ???è
Erwin Myu,12/19/2022 5:23,5,positif,Tqu Mandiri udh gk dipersulit log in livin nya. ???ç??è????è??è???????è?
Edi Decan,12/19/2022 5:53,2,negatif,Susah malah ngloding terus
Khilly Syank,12/19/2022 6:19,5,positif,Good
Rio Saputra,12/19/2022 6:33,1,negatif,Gak bisa tranksaksi sama sekali
TASYA `NN,12/19/2022 7:12,1,negatif,pelayanan banknya lambat
Fik Regarr,12/19/2022 7:19,1,negatif,"Makin di update kok malah makin buruk dan selalu error nih apk Tolongla beri kenyaman kepada kami sebagai nasabah mandiri apalagi tadi malam saya mengalami transaksi padahal sudah masuk malah kembali hilang dan sampai sekaranh uang nya belum masuk dengan keterangan reversal,haduhh"
Nur hasan Hasan,12/19/2022 7:28,5,positif,Sangat membantu di saat yg tepat
Sumarwan Wan,12/19/2022 7:31,5,positif,Ok
TJ 88,12/19/2022 7:32,1,negatif,Mohon diperbaikin dong masa buka aplikasi keluar sendiri... Ga bisa masuk...
Herdi Arga,12/19/2022 7:36,1,negatif,"Perbaikin dong, tiba tiba logout sendiri, mau kembali login malah ngebug dipas bagian konfirmasi wajah."
Boby Indra Gunawan,12/19/2022 7:59,5,positif,KEREN APLIKASINYA ????
Musik Pilihan (Multimedia jaman now),12/19/2022 8:03,1,negatif,"Nyesel nya pakek banget daftar aplikasi ini, awalnya saya kira seperti bank2 digital lainnya "" tanpa saldo mengendap"" ini mah harus mengendap 10rb. udah gitu transfer pakek biaya lagi. nyesel nya sampek ke ubun2,hadehh"
Endra Wijaya,12/19/2022 8:05,5,positif,Bagus
Tubagoesmuhammad Ridwan,12/19/2022 8:27,1,negatif,"nasabah baru sudah di kecewakan. baru buka tabungan, direkomendasikan buat download apk ini ternyata gak bisa masuk setelah vermuk. dan setelah dicoba beberapa kali malah CS nya nyalahin hp yg gk kompetibel katanya, padahal hp saya android versi 11"
Ff Lombardo,12/19/2022 9:09,1,negatif,Pelayanan sangat tidak menyenangkan!!!
Fuadi Sofi,12/19/2022 9:17,1,negatif,Setelah update tidak bisa melihat saldo dan history / mutasi rekening.
Dian Abdullah,12/19/2022 9:20,3,negatif,Tidak bisa transfer gimana nih
Chatarina Nana,12/19/2022 9:28,5,positif,very helpful in terms of financial affairs everything went smoothly without any problems
MARI BERTANAM & Alam indonesia mp,12/19/2022 10:01,5,positif,Sangat membantu
Wagiman Man,12/19/2022 10:52,1,negatif,Kok susah di buka aplikasi nya
Shinta Poernomo,12/19/2022 11:04,1,negatif,"Kok gak bisa tranfer seting apa lagi, makin pakek kok makin ribet aja"
Dodi Hardodi,12/19/2022 11:05,1,negatif,Living sekarang ini kurang bagus .tolong perhatiin doang
Widodo Suyadi,12/19/2022 11:07,5,positif,simpel cepat
alex Comank,12/19/2022 11:20,1,negatif,"Mau transfer koq gagal terus ya, padahal udah update.."
Novilia ulfa,12/19/2022 11:29,1,negatif,Bikin mbanking susah sekali. Sudah ke customer service juga belum jadi. Mandiri sulit.
Agnes Enjel Yani,12/19/2022 12:18,1,negatif,Sudah seminggu ini aplikasi tidak bisa dbuka sama sekali
Ali Azwir,12/19/2022 12:35,1,negatif,Aplikasi 1 hari ini tak bisa dibuka
Mr ü??sayü?ù Sayuthi,12/19/2022 12:47,2,negatif,"Sejak tadi pagi, aplikasinya gak jalan. Ada apa dengan livin by mandiri?"
Randy Nugroho,12/19/2022 12:49,1,negatif,Setiap mau pakai selalu susah... Ampun
Miftakhul Kholid,12/19/2022 13:11,1,negatif,"Kasih bintang 1 tentunya.. Buat registrasi utk buka rekening baru. Prosesnya Suusaaahh,,, Pakai Buanget... Padahal internet OK Kuota internet jg OK Tapi kok susah banget ....."
Anne Qyue,12/19/2022 13:25,5,positif,Livin keren banget simple praktis dan lengkap..mulai dari menabung..investasi..semua bisa d lakukan di livin..sangat membantu untuk transaksi kemana pun dan waktu kapanpun..
wasis diesel,12/19/2022 13:30,5,positif,Mantab memudahkan transaksi
Rizki Sapari,12/19/2022 14:01,2,negatif,Eror trus
Kerja Serabutan,12/19/2022 14:24,1,negatif,Bank BUMN kalah sama SWASTA
kurniyawan mnur24,12/19/2022 14:34,5,positif,Mantap
MUHAMAD THANTHAWI JAUHARI,12/19/2022 14:45,1,negatif,"Setelah di upgrade malah tidak bisa digunakan, ketika dibuka langsung keluar kembali"
DANDY EDWAR,12/19/2022 15:12,1,negatif,"Aplikasi buruk,tidak bisa login,bikin ATM baru,trus instal livin,perivikasi email selalu gagal,aplikasi jelek"
rahma angelia,12/19/2022 15:29,1,negatif,Kok susah seh mau buka livinnya kesel dehhhhh
Zein Abdullah,12/19/2022 15:35,1,negatif,Mau previkasi wajah aja ngheng tekan izinkan ga bisa bisa nya tekan tolak aja ... Aplikasi apaan tolol
Aziz Alfauzi,12/19/2022 15:52,5,positif,Terbaik dalam pelayanan terimakasih ????
Satria Qincai,12/19/2022 15:56,1,negatif,"Apk sampah,,, eror trus, malu lh mandiri punya apk kyak gini"
munar munir,12/19/2022 15:56,1,negatif,"Setelah updateaplikasi malah ada verifikasi wajah, hp saya kamera depannya lagi rusak, dan butuh login untuk urusan mendesak, bagi saya sangat menyulitkan"
Yuyun Yunita,12/19/2022 15:56,4,positif,God job
ba dir,12/19/2022 15:59,5,positif,Joss dan ga pernah mengecewakan baik aplikasi maupun atm nya???ç
Mohamad Rotib,12/19/2022 16:00,5,positif,Terima kasih
Deg Godeg,12/19/2022 16:02,5,positif,Sangat bagusssss
Arie Ariesta,12/19/2022 16:03,1,negatif,Update terus bukan makin baik tapi sering terhenti sendiri.
Maryono Susilo,12/19/2022 16:04,5,positif,Bagus
Ikal Kiara Salehe,12/19/2022 16:05,5,positif,Super
yeni.irnawati,12/19/2022 16:05,2,negatif,"Setelah update, tidak bisa liat detail transaksi"
Alan Saputra,12/19/2022 16:05,5,positif,bgus
fiqhiyatul ilmiyah,12/19/2022 16:06,5,positif,Bagus
citra novitasari,12/19/2022 16:07,1,negatif,Yang baru tambah buruk buat transfer gagal dan tidak bisa menampilkan saldo
Wisnu Gupta,12/19/2022 16:08,5,positif,"Makin mudah bertransaksi ,livin by Mandiri okeeeee"
Ninja Putih,12/19/2022 16:09,1,negatif,Ini apk gimana s ko gk bisa tf cek saldo gk ada error ap gimana
Ahmad Syaefulloh,12/19/2022 16:09,1,negatif,"Haduh setelah di update jadi error, tolong min segera di perbaiki.."
Sandro Leonardo,12/19/2022 16:10,5,positif,Bagus dan mantap???ç???ç
Jhoni Manullang,12/19/2022 16:11,5,positif,Good
Radit Tresa,12/19/2022 16:15,1,negatif,"sy top up dana gagal tp saldo ga balik,cek di akun dana pun ga ad uang masuk,udh di tgu smpai 24 jam ga jelas kmm uang sy"
Elly Ahmad,12/19/2022 16:15,5,positif,"Full bintang ,, the best livin???ç???ç???ç"
Ray Kasep,12/19/2022 16:17,1,negatif,"Kenapa susah banget sih buat tf,selalu bacaannya transaksi tidak dapat diakses terus,mohon perbaikannya dong"
Ropik Djawa,12/19/2022 16:19,4,positif,Sangat mudah di akses
joko s,12/19/2022 16:20,5,negatif,Sering di update mungkin buat keamanan..
hans al,12/19/2022 16:22,1,negatif,Aneh mau tarik tunai tengah malam off line????????????????
Asdar 77,12/19/2022 16:23,5,positif,Good
HERIN ROCHMAWATI4,12/19/2022 16:27,1,negatif,kenapa gak ada menu pinjaman nya ya livin
ifend yurrah,12/19/2022 16:37,5,positif,Mantap aplikasi nya sangat membantu Dan bermanfaat..???ç
achmed feisal,12/19/2022 16:37,5,positif,Terbaik
Abdullah Ambon,12/19/2022 16:39,5,positif,Bagus
Wiwik Hardini,12/19/2022 16:40,5,positif,Best
Muchamad ashari,12/19/2022 16:43,4,positif,bagus2 ja yg komen jelek mngkin jrngny
Afat,12/19/2022 16:43,5,positif,Sangat bagus
iwan saliman,12/19/2022 16:45,5,positif,Ok
Nawy Kokar,12/19/2022 16:46,1,negatif,"Setelah di update malah tidak bisa di akses, di klik puluhan kali susah masuk.. terlalu banyak fitur malah smakin kacau ni aplikasi.. kalo bank sebelah simpel aman aman sajah lo.."
Muhammad Razief,12/19/2022 16:46,4,positif,"Saya baru mencoba, pengalaman dari rekan kerja, cukup Baik"
Yusnidar nurdin yusnidar nurdin,12/19/2022 16:47,5,positif,Ok mantap
misnawi Nawi,12/19/2022 16:47,5,positif,mantap sangat membantu..
Alka Wilma,12/19/2022 16:56,1,negatif,Tidak ada kesbek
HARIONO S.E.,12/19/2022 16:59,5,positif,Baik
Burhan Colection Chanel,12/19/2022 17:05,5,positif,Aplikasi lumayan bagus dan lumayan cepat utk transaksi
Rizki Gunawan,12/19/2022 17:05,5,positif,Livin mantappp Livin kereeeeenn saya suka sya suka kasih saya pinjeman dong ??????è???????è????è??è?????
Arif Hasnur,12/19/2022 17:11,5,positif,Paling canggih dan terpercaya
CHOOPER ANIME,12/19/2022 17:16,5,negatif,seharian tidak bisa diakses tgl 25 februari 2022
Sumaryanto,12/19/2022 17:19,5,positif,Ok
Beny Kurniawan,12/19/2022 17:22,5,positif,"Good, markotop"
Itha Bungas,12/19/2022 17:25,1,negatif,Habis update tetap BURUK !!!
Jhemy Malucues,12/19/2022 17:25,5,positif,Sangat membantu
Ricky saputra,12/19/2022 17:31,1,negatif,Transaksi tengah malam pas lgi darurat selalu gak bisa
Naga Bonar,12/19/2022 17:39,4,positif,Mantul
rajendra arkara,12/19/2022 17:41,5,positif,Udh oke ni ga kayak sebelum nya
Kasih Channel,12/19/2022 17:44,5,positif,Keren Abiiiissss Living Mandiri
arip mardiyanto,12/19/2022 17:51,4,positif,"Terus semakin lebih baik, Terimakasih"
Abih Tabih,12/19/2022 17:52,5,positif,Baik
Lirwan Amir,12/19/2022 17:52,5,positif,Bagus
Khairul Kurniawan,12/19/2022 17:57,5,positif,Pengunaanya sangat baik
Adi sapta Putra,12/19/2022 18:01,5,positif,Keren
Mas Ju,12/19/2022 18:05,4,negatif,untuk toup dompet digitalnya tolong dibuat mudah!!??
alfian dhino,12/19/2022 18:07,5,positif,Good App
Soleh Abdullah18,12/19/2022 18:08,5,positif,"Biar lebih mudah, coba ada kan fitur pinjaman di livin by mandiri"
Safrizal Rizal,12/19/2022 18:10,5,positif,Sangat membantu dalam segala hal
Zoel Chaidir,12/19/2022 18:12,5,positif,"Aplikasi super canggih...puas deh pokok nya,layak dpt bintang 5"
Agil Aldilana,12/19/2022 18:14,5,positif,Sangat mudah dan membantu
Medi Mardiansyah,12/19/2022 18:17,4,negatif,Ada menu pinjaman .tapi ga bisa minjam .kepepettttt ????????
Binsar Freddy,12/19/2022 18:19,5,positif,Ok
bang hartono92,12/19/2022 18:26,1,negatif,"Apk livin tidak ada fungsi sama sekali, niat mau akses masuk bnyak hambatan. Ini kurang dana apa gimana, bisa2 nya bank ternama kek ga modal gitu. Mau pindah bank tp uang gue bnyak di mari. Apk k*ntol"
Gunanto bandongan,12/19/2022 18:27,2,negatif,Gini amat yak
Suwokos Suwoko,12/19/2022 18:27,4,positif,ok
Rohim Azhar,12/19/2022 18:30,5,positif,Mantap
ZonaZon's,12/19/2022 18:34,2,negatif,saya dapat transferan lewat bca namun pake bi fast.. sudah 1x24 jam dana belum saya terima
BERITA INSPIRATIF,12/19/2022 18:37,5,positif,ok
Suparto BW,12/19/2022 18:38,1,negatif,revesal itu apa ya transaksi berhasil tapi uang tidak masuk. Mohon penjelasanya. Terimakasih
Susanto Putri,12/19/2022 18:39,5,negatif,Update Bae update Bae... Haus kuota juga to...
Adhide Souza,12/19/2022 18:40,4,positif,Mantap
Adrian Sah,12/19/2022 18:42,1,negatif,Setelah sya updet laju gak jelas ni aplikasi buat cek saldo aj gak bisa g mna admin masak bank segitu gedenya punya aplikasi gak jelas
ricky zackyuddin,12/19/2022 18:42,1,negatif,"Payah, upgrade terus tapi gak ada improvement mengenai bug & gangguan servernya. Saya pengguna lama tapi akhir2 ini dampak nya kerasa sekali merugikan kalau sering menjumpai gangguan dan bug di mbanking livin."
Mangku Alam,12/19/2022 18:44,1,negatif,"setelah di update malah ndak bisa login,susah sekali untuk login pie jane kiih"
Eplan Esg,12/19/2022 18:44,5,positif,Satu kata untuk aplikasi ini (MANTAP)
Eman Sule,12/19/2022 18:46,1,negatif,Aplikasi parah kalau malam suka eror.ditambah ada limit saldo.bank lain ga ada tuh
Novel Zanuar,12/19/2022 18:47,5,positif,Mantap
Alan Drajad Pamungkas,12/19/2022 18:48,1,negatif,"Bangk*k mestinkog sedang ada pemeriksaan terus, habis update pasti eror ta*"
Lang Dhan,12/19/2022 18:49,2,negatif,Halo kenapa setelah saya update aplikasi malah jadi eror?
ririn langolo,12/19/2022 18:50,1,negatif,Transfer tdk bisa setelah di update Payah
Jemy Cool,12/19/2022 18:54,5,negatif,Knpa hbis di perbaharui gk bsa login min..mhon di petbaiki
Muhamad Panca,12/19/2022 18:54,1,negatif,"Setelah di update, no virtual account tidak bisa otomatis seperti sebelumnya sehingga harus mengetik ulang nomor virtual account secara manual ????"
Andika Saputra,12/19/2022 19:05,1,negatif,Sering gangguan sangat tidak puas dengan livin dari mandiri
Jupiter,12/19/2022 19:07,1,negatif,Layanan livin aplikasi mandiri semakin di update semakin memburuk
Imam maulana1982,12/19/2022 19:16,1,negatif,"Suka ngehang gajelas padahal jaringan stabill, mau cek saldo suka gk bisa parah, padahal livin buat kebutuhan kerja saya, saya gajian melalui transfer mandiri jadi gak respect aja pake livin kalo kaya gini terus gk ada perubahan??"
Slamet Irawan,12/19/2022 19:22,5,positif,Biar bintang yg bicara
Alif irsyaaa,12/19/2022 19:41,1,negatif,Trouble mulu herann
mujay pengembara,12/19/2022 19:43,5,positif,Bagus
ADIETRIYABORNEO PRATAMA,12/19/2022 19:45,5,positif,Ok ok
Umar Abdussalam,12/19/2022 19:47,5,positif,Just ok
Adi Daruli,12/19/2022 19:55,1,negatif,Kurang maksimal
Motovlog2022 Motovlog,12/19/2022 20:15,5,negatif,Selalu Ada Kendala Atm center rusak di medan
Jeki Feriansah,12/19/2022 20:28,5,positif,Aman
wiwik nurhayati,12/19/2022 20:32,1,negatif,"Di suruh update malah gak bisa buat tf, gak bisa bwt top up,.. Dih kesel bgt,.. Malem2 mau beli token aja gak bisa bwt apa2,... 20-12-22"
Arga Riandana,12/19/2022 20:35,5,positif,"Tidak ada masalah,"
Butirandebu,12/19/2022 20:40,5,positif,Sangat kekinian dan kereen
Beng Beng,12/19/2022 20:44,5,positif,Mantapü??
andi sugar,12/19/2022 20:50,5,positif,Oke
Ety Jaum,12/19/2022 20:55,5,positif,Sangat membantu dalam transaksi online
syaefuddin syaefuddin,12/19/2022 20:56,5,positif,Banyak fitur2 yang memudahkan untuk bertransaksi
Maulana Ohoitenan,12/19/2022 21:00,3,negatif,Untuk transfer tdk menyimpan otomatis nama yg penerima yg sdh dibuat sebelumnya
Bang Jhon,12/19/2022 21:12,5,positif,Aplikasi yg sangat bermanfaat
Rizky official,12/19/2022 21:30,5,positif,mantap ga ribet
Edi Pranawa,12/19/2022 21:42,5,positif,"Dompet berjalan, mudah di operasikan"
Endang Asih,12/19/2022 21:43,5,positif,Mandiri keren
Awaluddin Alfil,12/19/2022 21:43,5,positif,Baik
Arel Love,12/19/2022 21:47,5,positif,Bagus
ikram Basra03,12/19/2022 22:00,5,positif,Aplikasinya luar biasa dapat membantu saya dalam melakukan transaksi secara online d mna pun saya berada..
HAZAL PRATAMA,12/19/2022 22:04,3,positif,app yg membantu dalam kehidupan sehari-hari
Roni Sabar Manurung,12/19/2022 22:04,1,negatif,Update mulu... Ribeet Gak kyak app bank lainnya Ngabisin paket ajaa njiir
deni sukendar,12/19/2022 22:05,5,positif,Sangat membantu
Riana Agustina,12/19/2022 22:09,5,positif,Sangat membantu
Slamet Priyatin,12/19/2022 22:13,5,positif,"Memberikan solusi tepat..untuk transaksi secara online,,cepat dan tidak ribet trimakasih mandiri."
OGI CHANNEL,12/19/2022 22:18,5,positif,Sangat memuaskan
Maya Sari,12/19/2022 22:19,5,positif,"Kata sapa livin mandiri logo kuning ribet?? Menurut gw sih stlh update mlh simple, keren n memprmudah,, klo pun prnh ad trouble beberapa jam, itu wajar mngkn lg ad prbaikan maintance sistem server,, udh luama bgt jd nasabah bank MANDIRI n slma ini blm mengecewakan dr segi playanan perbankan ampe aplikasi livin ny ??ù???ù? bravo MANDIRI"
Jago Therapist,12/19/2022 22:20,5,positif,Living mandiri is ok for me.
Sutrisno Tresno,12/19/2022 22:24,5,positif,SIP AJIIIP
desta toelle,12/19/2022 22:25,5,positif,Suka. Aplikasinya mudah digunakan
dito mandiri,12/19/2022 22:28,5,positif,"Mudah, keren dan fleksibel."
Patar Panjaitan,12/19/2022 22:30,5,positif,Semakin simple dan praktis
sukimin kimin,12/19/2022 22:34,5,positif,Sangat memuaskan dan lebih aman dalam bertransaksi
arul aja,12/19/2022 22:37,5,positif,Mantap
adji prabowo,12/19/2022 22:41,5,positif,Simple
Baihaqi Altharafisqi,12/19/2022 22:44,1,negatif,Tolong diperbaiki. Aplikasi tidak bisa dibuka. Setiap dibuka langsung close trus. Padahal mu tf. Hadeh.
Brogi Lalang,12/19/2022 22:48,5,positif,Bagusnya
Nana Suwarna,12/19/2022 22:52,5,positif,"Mudah untuk financial busines,"
Ningsih Ningsih,12/19/2022 22:52,5,positif,Bagus dan sangat membantu
Zahra Nisha,12/19/2022 22:53,5,positif,Mantul
Jefry Ahmad,12/19/2022 22:56,5,positif,Apk sangat mudah dan trx nya cepat
Tri Mulyani,12/19/2022 22:56,1,negatif,Mau topup ke apk yg lain gagal terus
Gusti Rizal Hasan Aman,12/19/2022 22:56,5,positif,bagus
hasbullah hana,12/19/2022 22:58,5,positif,Sangat membatu
Mistri Hapsari,12/19/2022 23:10,5,positif,Sangat membantu
Ahmad Khoir,12/19/2022 23:14,5,positif,bermamfat bngt m'bengking...
Eka Andreiyana,12/19/2022 23:15,5,positif,Amat sangat berguna. Thank you
imron rosyadi,12/19/2022 23:16,5,positif,Mudah dan multi fungsi
Ahmad Mashoedy,12/19/2022 23:17,5,positif,Bermanfaat dan mudah penggunaannua
Roy naldo,12/19/2022 23:22,5,positif,Mantap
Ariestanti Iskandar,12/19/2022 23:23,2,negatif,Sering trobel ya
Lutfi Hanafiah,12/19/2022 23:23,5,positif,Good
Asep Maulana,12/19/2022 23:24,5,positif,"Livinluar biasa,ini baru bank bumn yg komplit,bisa semuanya,terima kasih"
Argio Wijaya,12/19/2022 23:24,5,positif,Mantap
Oktolina Reni,12/19/2022 23:26,1,negatif,Bentar?? harus diperbaharui ..
Yulius Pakabu,12/19/2022 23:26,5,positif,Livin luar biasa
Muhammad Amin,12/19/2022 23:26,5,positif,Good job
Aceng Ubaidillah,12/19/2022 23:27,5,positif,sangat membantu
Dex Tite,12/19/2022 23:28,5,positif,Bagus dan cepat memudahkan semua hal.
Ancha ancha,12/19/2022 23:30,5,positif,Aplikasi bagus..jadi aman bertransaksi. Terimakasih bank mandiri
Rizal Nuralamsyah,12/19/2022 23:31,5,positif,Sangat membantu untuk bekerja
Darmawan Sriyana,12/19/2022 23:34,5,positif,Bagus dan mudah penggunaanya
Hisan hibban,12/19/2022 23:34,4,positif,Bagus sangat membantu segala transaksi tersedia
b'ntang m,12/19/2022 23:37,4,positif,Baguslah
Vallen jojho Daud,12/19/2022 23:37,5,positif,Is the best..???ç???ç???ç
Bobie,12/19/2022 23:40,1,negatif,"Udh minta update aja, kalau ga di update malah ga bs di pakai aplikasinya. Tp udh dibupdate malah sering force close sndiri, gimana mau transaksi..."
edi chandra,12/19/2022 23:40,5,positif,Lebih mudah dlm bertransaksi apapun juga
hasan saiful,12/19/2022 23:42,5,positif,Bagus dan praktis
inojaya12 jaya,12/19/2022 23:43,5,positif,"Mbanking sangat membantu,is the best... ???ç???ç???ç"
saripu Jimsay,12/19/2022 23:43,5,positif,Bintang Lima saya suka
Eko Rian,12/19/2022 23:44,5,positif,Ok bagus
Openg Okey,12/19/2022 23:49,5,positif,salah satu bumn yg terbaik
Retno Mukti,12/19/2022 23:52,5,positif,Jozz
Tulus Novianto,12/19/2022 23:53,3,positif,Ok
Dikdik Gunantara,12/19/2022 23:54,5,positif,Selama ini berjalan dengan baik dan tidak pernah ada masalah. Pertahankan dan maju terus..
Rickyangga 07,12/19/2022 23:58,5,positif,"Mantap,mudah penggunaan'y,"
Isfa Lana,12/19/2022 23:59,5,negatif,"Coba kalau ada fitur setor tunai,."
Windi Astuti,12/20/2022 0:01,2,negatif,"Kebanyakan update mulu , sebulan bisa 2x ."
Lukman Nulhakin,12/20/2022 0:02,5,positif,"Allhamdulillah, dengan adanya livin'by Mandiri, memudakan tr asaksi tdk perlu buang waktu dan biaya harus mencari ATM, semoga Bank Mandiri tetap Jaya dan menjadi Perbankan terdepan, Aamiin"
BENI EKO CAHYONO,12/20/2022 0:04,5,positif,Sangat membantu
Maseri Eri,12/20/2022 0:05,5,positif,Mudah menggunakannya dan banyak fiture menu
Kusnali Cirebon,12/20/2022 0:05,5,positif,Luar biasa
Muhammad Samuda,12/20/2022 0:09,5,positif,mudah bertransaksi
Drafter Aldy,12/20/2022 0:09,5,positif,Ok
Enjang Thea,12/20/2022 0:10,5,positif,alhamdulillah gampang
Asep Asep,12/20/2022 0:11,5,positif,Trimakaci banyak ...
WAK TEER,12/20/2022 0:11,1,negatif,"Parah,aplikasi minta di update setiap bulan"
orang biasa,12/20/2022 0:12,5,positif,Mantab
Nurul Ahmad,12/20/2022 0:12,5,positif,Mantap
Yuyun Na'diroh,12/20/2022 0:13,1,negatif,"Gak suka, sering update"
ade mulyadi,12/20/2022 0:14,5,positif,sNgat membantu bngt
Maman rahman,12/20/2022 0:15,5,positif,Cepat layanannya sangat memuaskan..
Tigin Ginanjar,12/20/2022 0:15,2,negatif,"Fitur transfer mandiri livin kuning, kurang bagus dari sisi speed loadingnya dan ini sangat mengganggu."
ebin andrianto,12/20/2022 0:18,5,positif,Bagus
Doni Hasibuan,12/20/2022 0:19,5,positif,keren
Gelyam Ngoran,12/20/2022 0:20,5,positif,Good
Menti Patarida,12/20/2022 0:22,4,positif,bagus aplikasi nya
Yonesten Tenouye,12/20/2022 0:29,5,positif,Sangat bagus aplikasi Livin ini
Umi Asyhari,12/20/2022 0:30,4,positif,Sangat membantu
Umi Qoriah,12/20/2022 0:30,5,positif,Cukup memuaskan
Srikandi,12/20/2022 0:31,5,positif,Membantu pengiriman
VILMA channel,12/20/2022 0:31,5,positif,Sangat membantu
Indihome layanan online,12/20/2022 0:34,5,positif,Mantul
DIAN KUSUMA,12/20/2022 0:36,5,positif,Kereeeeeennn. Terlengkap dibanding punya bank lain. Terkait transaksi VA semoga lebih dibuat simple dan mudah lagi.
Jhonny Andi,12/20/2022 0:36,5,positif,Sungguh simpel dan praktis. Trima kasih livin mandiri.
Indra Lesmana,12/20/2022 0:37,5,positif,Ok
muhamad saputra,12/20/2022 0:37,5,positif,"Ok banget, layanan cepat thanks livin mandiri"
Adri Wopari,12/20/2022 0:40,4,positif,Aplikasi yang sangat membantu
Erna Apriani,12/20/2022 0:41,2,negatif,Susah di abdet muter2 aja
Mimotha Uchulz,12/20/2022 0:41,5,positif,Sangat membantu
Nanang Boom,12/20/2022 0:41,5,positif,Good
Ika Putra Buana,12/20/2022 0:42,5,positif,Easy and fast
Feni Taliawo,12/20/2022 0:42,5,positif,Good looking
Gan Soekma,12/20/2022 0:44,4,positif,Merasa Terbantu
Septian Hidayat,12/20/2022 0:44,5,positif,Tidak mengecewakan....sangat puas
Mulyono Al ikhlas wonorejo,12/20/2022 0:44,5,positif,bagus
Flora Sinaga,12/20/2022 0:46,5,positif,Aplikasinya bagus dan mudah di pahami
Tatang M Yusuf,12/20/2022 0:46,5,positif,"Memudahkan urusan, terima kasih livin"
TRY RAHAYU,12/20/2022 0:47,4,positif,Lumayan
Agung Gumelar,12/20/2022 0:48,5,positif,Membantu
Tini Samudro,12/20/2022 0:49,5,positif,Memudahkan & melancarkan berbagai transaksi perbankan.
Hadi Suranto,12/20/2022 0:52,5,positif,Ok
Mr. M.U.A,12/20/2022 0:53,5,positif,Sudah banyak peningkatan
Kori khairotunnisa,12/20/2022 0:55,5,positif,Banyak memudahkan pengguna
Ica Ratnasari,12/20/2022 0:57,1,negatif,Bagusan yg onoh. Ini ribetnya kayak ngurus bpjs
Nawipa Yerry A,12/20/2022 0:57,5,positif,Good App
narifah Ifah,12/20/2022 1:00,4,positif,Baik
MARIA SUSANCE KEMESRAR,12/20/2022 1:02,5,positif,SABGAT MEMUDAHKAN DENGAN MENGGUNAKAN Livin' by Mandiri
ferry ramadhani,12/20/2022 1:02,5,positif,Acses cepat dan luar biasa bermanfaat buat bisnis man end women..
AGUSTINUS NDRURU,12/20/2022 1:05,5,positif,Bangus banget sangat membantu
jacky aishiteru,12/20/2022 1:05,5,positif,Mantap sangat terbatu sekali. Mandiri memang selalu yang terdepan
Malindo Jaya Rcw,12/20/2022 1:08,5,positif,oke
Dodi Warman,12/20/2022 1:10,5,positif,App matap
Putra .anggara,12/20/2022 1:10,5,positif,Cukup membantu aplikasinya
AUX lauk,12/20/2022 1:16,1,negatif,Ngaheng terus. Pulsa abis 50 ribu.. Gara2 gk masuk masuk
Irwanto Tanjung,12/20/2022 1:19,5,positif,Sangat membantu
Samsul Arifin,12/20/2022 1:20,5,positif,Sangat membantu
Mega Wati,12/20/2022 1:20,5,positif,Sangat membantu
Hendra prastyo,12/20/2022 1:21,3,positif,Good
Daden suhendi Cuplis,12/20/2022 1:22,5,positif,Sangt membantu
Yudis Tira,12/20/2022 1:25,5,positif,Baik.
Djawa Dwipa Sembada,12/20/2022 1:25,4,negatif,"Pada kolom histori transfr, yang lama tidak tersimpan, jadi harus ngetik tujuan baru lagi Ini yang saya alami atau mungkin saya blm tau caranya, mohon penjelasan"
Ating nata Somantri,12/20/2022 1:25,5,positif,"Mantap, sangat membantu sekali"
deddy saputra,12/20/2022 1:25,5,positif,"Its good,,,very very nice"
Ahmad Romli,12/20/2022 1:27,5,positif,"Mempermudah transaksi,melancarkan bisnis....livin' by mandiri oke banget ???ç???ç???ç???ç???ç"
Andri Suheri,12/20/2022 1:28,5,positif,Ok mantap
star one,12/20/2022 1:28,5,positif,"bagus, bekerja dengan sangat baik."
rusnia olhen,12/20/2022 1:30,2,negatif,Minta update trs tp aplikasi suka hang????
Purwo,12/20/2022 1:33,5,positif,"Terima kasih bank Mandiri,"
ewtourlombok Fadly,12/20/2022 1:33,5,positif,Mempermudah urusan finasial....selaagi ada uang. Low uang ga ada yg ga bisa membantu loh
Jenni Puncak Jaya,12/20/2022 1:34,5,positif,Sanggat membantu????
Suryanto Ensyah,12/20/2022 1:35,5,positif,",semoga bertambah baik pelayanan nya"
Nia Tina,12/20/2022 1:36,1,negatif,Dikit dikit minta di update
And1 channel,12/20/2022 1:36,5,positif,Sangat terbantu thanks livin by mandiri ???è
Welly Imuet,12/20/2022 1:36,5,positif,Sangat membantu bnget
NUNUNG NURAINI,12/20/2022 1:37,1,negatif,Harus sering diupdate jd repot
Man Man,12/20/2022 1:38,5,positif,Livin sangat bagus
Dods Artsamselv,12/20/2022 1:39,5,positif,Manstap
Jajang Rahmawan,12/20/2022 1:40,5,positif,Mantaps
Sugeng Sugeng,12/20/2022 1:40,5,positif,Cepat transanksinya
Indomarsan Export,12/20/2022 1:43,5,positif,Alhamdulillah bagus ini aplikasi.
